Network,Min Segment Length (m),Max Segment Length (m),Avg Segment Length (m),Total Segment Length (m),Total Segments,Total Timesteps,CN Violations,Number of Segments Violating CN,Length of Network Violating CN,% Segments Violating CN,rpu
rf_s10000_m3500_c3500,3.26,51270.62,3891.33,118592299.47,30476,288,9748,46,4686.055803824682,0.15,11d
rf_s10000_m4500_c4500,3.26,51270.62,4063.61,118592299.47,29184,288,8969,41,4238.31631293353,0.14,11d
rf_s10000_m500_c500,3.26,51270.62,2646.69,118595610.82,44809,288,13408,64,6888.748550372564,0.14,11d
reference_12a,1.0,35956.0,2590.15,62956148.0,24306,288,33751,141,6576.0,0.58,12a
rf_s10000_m1000_c1000,8.13,27998.79,3271.49,61651285.86,18845,288,4565,21,1988.0662990647777,0.11,12a
rf_s10000_m1500_c1500,8.13,27998.79,3574.4,61651285.86,17248,288,4561,21,1988.0662990647777,0.12,12a
rf_s10000_m2500_c2500,8.13,29475.31,4091.78,61646706.72,15066,288,4010,19,1711.445393255922,0.13,12a
rf_s10000_m3500_c3500,8.13,29475.31,4483.17,61643531.78,13750,288,3436,18,1755.575628790868,0.13,12a
rf_s10000_m4500_c4500,8.13,29475.31,4722.65,61639980.73,13052,288,3126,16,1488.4355238768176,0.12,12a
rf_s10000_m500_c500,8.13,27998.79,2940.16,61652244.06,20969,288,4554,21,1988.0662990647777,0.1,12a
reference_12b,1.0,68514.0,3349.95,48168980.0,14379,288,34763,125,4765.0,0.87,12b
rf_s10000_m1000_c1000,6.04,68513.66,3974.76,47164444.42,11866,288,5303,20,1195.7216582584435,0.17,12b
rf_s10000_m1500_c1500,6.04,68513.66,4240.64,47164444.42,11122,288,4993,19,1140.839652027643,0.17,12b
rf_s10000_m2500_c2500,6.04,68513.66,4697.89,47162092.28,10039,288,4665,17,954.2005732208788,0.17,12b
rf_s10000_m3500_c3500,6.04,68513.66,5057.86,47159456.8,9324,288,4326,16,934.179301584701,0.17,12b
rf_s10000_m4500_c4500,6.04,68513.66,5286.93,47159456.8,8920,288,3580,13,843.0162557938361,0.15,12b
rf_s10000_m500_c500,6.04,68513.66,3664.75,47165290.64,12870,288,5309,20,1195.7216582584435,0.16,12b
reference_12c,1.0,61296.0,3472.52,41715410.0,12013,288,31918,118,4660.0,0.98,12c
rf_s10000_m1000_c1000,1.24,61295.57,4111.3,40845716.62,9935,288,4792,21,1095.882733261405,0.21,12c
rf_s10000_m1500_c1500,1.24,61295.57,4367.45,40844363.09,9352,288,4205,19,1019.7280714141062,0.2,12c
rf_s10000_m2500_c2500,1.24,61295.57,4834.8,40844363.09,8448,288,3883,18,999.7346295227314,0.21,12c
rf_s10000_m3500_c3500,1.24,61295.57,5229.35,40841238.37,7810,288,2979,15,935.2955826524706,0.19,12c
rf_s10000_m4500_c4500,1.24,61295.57,5489.41,40841238.37,7440,288,2967,15,898.1617578109457,0.2,12c
rf_s10000_m500_c500,1.24,61295.57,3793.6,40845716.62,10767,288,4832,21,1095.882733261405,0.2,12c
reference_12d,1.0,42762.0,3044.99,49170510.0,16148,288,19768,70,1853.0,0.43,12d
rf_s10000_m1000_c1000,0.59,42762.03,3720.07,48044747.92,12915,288,3369,12,514.8920124452845,0.09,12d
rf_s10000_m1500_c1500,0.59,42762.03,4004.62,48043424.83,11997,288,3369,12,514.8920124452845,0.1,12d
rf_s10000_m2500_c2500,0.59,42762.03,4513.5,48037202.66,10643,288,2505,9,340.7185293480692,0.08,12d
rf_s10000_m3500_c3500,17.95,42762.03,4912.65,48030996.76,9777,288,1929,7,296.7329651537124,0.07,12d
rf_s10000_m4500_c4500,17.95,42762.03,5213.0,48027340.07,9213,288,1929,7,296.7329651537124,0.08,12d
rf_s10000_m500_c500,0.59,42762.03,3404.35,48045660.18,14113,288,3369,12,514.8920124452845,0.09,12d
reference_13a,1.0,32767.0,2480.59,68722216.0,27704,288,64271,255,17563.0,0.92,13a
rf_s10000_m1000_c1000,5.99,32766.9,3046.55,66094799.68,21695,288,9549,37,3071.3435349690144,0.17,13a
rf_s10000_m1500_c1500,5.99,32766.9,3306.4,66098259.95,19991,288,8693,35,3059.7092931332104,0.18,13a
rf_s10000_m2500_c2500,5.99,32766.9,3696.69,66089414.79,17878,288,8429,34,3053.214426128422,0.19,13a
rf_s10000_m3500_c3500,5.99,32766.9,3943.16,66083337.55,16759,288,7820,32,2965.966412196689,0.19,13a
rf_s10000_m4500_c4500,5.99,32766.9,4113.82,66076154.39,16062,288,7518,31,2855.402856805121,0.19,13a
rf_s10000_m500_c500,5.99,32766.9,2738.38,66093612.87,24136,288,10417,40,3176.50683335521,0.17,13a
reference_13b,1.0,31016.0,3725.43,24371732.0,6542,288,7200,25,1207.0,0.38,13b
rf_s10000_m1000_c1000,19.78,31015.85,4203.18,23827808.94,5669,288,1152,4,140.65934165195802,0.07,13b
rf_s10000_m1500_c1500,19.78,31015.85,4491.25,23862034.45,5313,288,1152,4,140.65934165195802,0.08,13b
rf_s10000_m2500_c2500,19.78,31015.85,4943.59,23912155.52,4837,288,864,3,114.61188998881072,0.06,13b
rf_s10000_m3500_c3500,19.78,31015.85,5321.87,23953749.22,4501,288,576,2,63.59997688929779,0.04,13b
rf_s10000_m4500_c4500,19.78,31015.85,5592.44,23980374.52,4288,288,576,2,63.59997688929779,0.05,13b
rf_s10000_m500_c500,19.78,31015.85,3873.75,23796455.87,6143,288,1152,4,140.65934165195802,0.07,13b
reference_13c,1.0,40540.0,3102.28,53467790.0,17235,288,24825,136,16163.0,0.79,13c
rf_s10000_m1000_c1000,6.0,40540.04,3544.97,51611243.19,14559,288,2707,17,2390.3921619540665,0.12,13c
rf_s10000_m1500_c1500,6.0,40540.04,3782.9,51610088.58,13643,288,1905,14,2132.649360708217,0.1,13c
rf_s10000_m2500_c2500,6.0,40540.04,4159.15,51606732.38,12408,288,2136,14,1950.8781641783617,0.11,13c
rf_s10000_m3500_c3500,6.0,40540.04,4417.7,51598769.04,11680,288,1886,12,1380.8037721799624,0.1,13c
rf_s10000_m4500_c4500,6.0,40540.04,4604.66,51590629.02,11204,288,2179,15,2362.239047696948,0.13,13c
rf_s10000_m500_c500,6.0,40540.04,3278.24,51612678.35,15744,288,2778,20,3237.573379174827,0.13,13c
reference_13d,2.0,27818.0,2251.6,7382993.5,3279,288,15750,55,1674.0,1.68,13d
rf_s10000_m1000_c1000,12.44,27667.62,3305.44,7324865.66,2216,288,864,3,59.97365865176205,0.14,13d
rf_s10000_m1500_c1500,12.44,27667.62,3672.32,7340964.1,1999,288,864,3,59.97365865176205,0.15,13d
rf_s10000_m2500_c2500,12.44,27667.62,4261.36,7359364.77,1727,288,864,3,59.97365865176205,0.17,13d
rf_s10000_m3500_c3500,12.44,27667.62,4762.25,7381494.43,1550,288,864,3,59.97365865176205,0.19,13d
rf_s10000_m4500_c4500,12.44,27667.62,5134.09,7387961.96,1439,288,864,3,59.97365865176205,0.21,13d
rf_s10000_m500_c500,12.44,27667.62,2874.31,7292133.67,2537,288,1440,5,117.14708236997691,0.2,13d
reference_14a,1.0,27581.0,2487.1,100973620.0,40599,288,178258,654,40624.0,1.61,14a
rf_s10000_m1000_c1000,5.13,27580.92,3119.05,98187586.43,31480,288,33671,128,9526.566845787,0.41,14a
rf_s10000_m1500_c1500,5.13,27580.92,3379.6,98187586.43,29053,288,32478,123,9027.47031913544,0.42,14a
rf_s10000_m2500_c2500,5.13,27580.92,3765.44,98187586.43,26076,288,28365,107,7583.871948102597,0.41,14a
rf_s10000_m3500_c3500,5.13,27580.92,4026.12,98184914.25,24387,288,26953,103,7380.249400040435,0.42,14a
rf_s10000_m4500_c4500,5.13,27580.92,4186.63,98184914.25,23452,288,26944,103,7328.2035110035185,0.44,14a
rf_s10000_m500_c500,5.13,27580.92,2826.54,98188371.16,34738,288,35712,137,10725.61688157335,0.39,14a
reference_14b,1.0,30925.0,2136.06,93271050.0,43665,288,179250,636,32323.0,1.46,14b
rf_s10000_m1000_c1000,5.94,30964.45,2799.21,90288416.04,32255,288,17184,62,3391.7439260027804,0.19,14b
rf_s10000_m1500_c1500,5.94,30964.45,3073.56,90285862.13,29375,288,16088,58,3221.8079814468388,0.2,14b
rf_s10000_m2500_c2500,5.94,30964.45,3463.65,90283470.3,26066,288,13443,49,2699.9163964232384,0.19,14b
